137,516,432,219,224,234,165
52,142,155,87,102,95,86
63,229,238,156,199,152,118
91,238,263,194,216,199,164
119,302,326,240,258,246,245
143,289,378,247,354,317,293
150,436,452,317,282,427,324
158,419,471,315,328,448,380
102,423,440,302,331,402,338
155,376,455,386,339,526,361
115,491,553,374,358,506,299
86,424,389,362,324,502,348
142,414,544,406,468,485,298
121,300,397,366,340,443,265
83,344,408,388,377,338,300
114,326,411,366,351,364,244
75,401,484,380,391,391,216
62,374,413,348,353,351,242
49,352,444,400,374,398,192
48,239,396,411,297,322,173
85,409,533,424,369,357,178
44,277,424,335,332,284,167
39,316,395,419,335,245,119
54,232,326,324,349,330,116
59,262,380,392,345,263,139
34,206,376,328,288,286,67
27,240,316,349,264,208,101
15,205,291,343,285,172,83
15,222,328,308,266,175,82
15,134,292,304,195,156,72
24,230,366,350,315,161,72
22,169,271,259,210,130,56
24,189,221,302,254,131,37
26,141,278,248,183,99,52
9,102,230,226,191,163,55
14,104,233,218,205,64,31
8,118,253,283,267,91,39
9,122,148,185,186,97,25
11,77,191,151,165,80,61
4,88,139,169,130,90,36
123,1677,3784,4385,3714,1861,687
